"Domain","Category","Signal","Direction","Pin","Description"
"PL","系统时钟（50Mhz）","sys_clk","input","U18","系统时钟，频率：50MHz"
"PL","PL复位按键","sys_rst_n","input","N16","PL复位复位，低电平有效"
"PL","2个PL功能按键","key[0]","input","L14","PL按键KEY0"
"PL","2个PL功能按键","key[1]","input","K16","PL按键KEY1"
"PL","3个PL_LED灯","led[0]","output","H15","（底板）PL_LED0"
"PL","3个PL_LED灯","led[1]","output","L15","（底板）PL_LED1"
"PL","3个PL_LED灯","led","output","J16","（核心板）PL_LED"
"PL","触摸按键","touch_key","input","F16","触摸按键 tpad"
"PL","蜂鸣器","beep","output","M14","蜂鸣器"
"PL","UART串口","uart_rxd","input","T19","串口接收端UART3_RX"
"PL","UART串口","uart_txd","output","J15","串口发送端"
"PL","ATK MODULE","uart_rx","input","T19","RXD端口 UART3_RX"
"PL","ATK MODULE","uart_tx","output","J15","TXD端口"
"PL","ATK MODULE","gbc_key","input","G14","KEY端口"
"PL","ATK MODULE","gbc_led","output","N15","LED端口"
"PL","IIC总线（EEPROM/RTC实时时钟/音频配置）","iic_scl","output","E18","IIC时钟信号线"
"PL","IIC总线（EEPROM/RTC实时时钟/音频配置）","iic_sda","inout","F17","IIC双向数据线"
"PL","RGB TFT-LCD接口","lcd_hs","output","N18","RGB LCD行同步"
"PL","RGB TFT-LCD接口","lcd_vs","output","T20","RGB LCD场同步"
"PL","RGB TFT-LCD接口","lcd_de","output","U20","RGB LCD数据使能"
"PL","RGB TFT-LCD接口","lcd_bl","output","M20","RGB LCD背光控制"
"PL","RGB TFT-LCD接口","lcd_clk","output","P19","RGB LCD像素时钟"
"PL","RGB TFT-LCD接口","lcd_rst","output","L17","RGB LCD复位信号"
"PL","RGB TFT-LCD接口","lcd_rgb[0]","output","W18","RGB LCD蓝色（最低位）"
"PL","RGB TFT-LCD接口","lcd_rgb[1]","output","W19","RGB LCD蓝色"
"PL","RGB TFT-LCD接口","lcd_rgb[2]","output","R16","RGB LCD蓝色"
"PL","RGB TFT-LCD接口","lcd_rgb[3]","output","R17","RGB LCD蓝色"
"PL","RGB TFT-LCD接口","lcd_rgb[4]","output","W20","RGB LCD蓝色"
"PL","RGB TFT-LCD接口","lcd_rgb[5]","output","V20","RGB LCD蓝色"
"PL","RGB TFT-LCD接口","lcd_rgb[6]","output","P18","RGB LCD蓝色"
"PL","RGB TFT-LCD接口","lcd_rgb[7]","output","N17","RGB LCD蓝色（最高位）"
"PL","RGB TFT-LCD接口","lcd_rgb[8]","output","V17","RGB LCD绿色（最低位）"
"PL","RGB TFT-LCD接口","lcd_rgb[9]","output","V18","RGB LCD绿色"
"PL","RGB TFT-LCD接口","lcd_rgb[10]","output","T17","RGB LCD绿色"
"PL","RGB TFT-LCD接口","lcd_rgb[11]","output","R18","RGB LCD绿色"
"PL","RGB TFT-LCD接口","lcd_rgb[12]","output","Y18","RGB LCD绿色"
"PL","RGB TFT-LCD接口","lcd_rgb[13]","output","Y19","RGB LCD绿色"
"PL","RGB TFT-LCD接口","lcd_rgb[14]","output","P15","RGB LCD绿色"
"PL","RGB TFT-LCD接口","lcd_rgb[15]","output","P16","RGB LCD绿色（最高位）"
"PL","RGB TFT-LCD接口","lcd_rgb[16]","output","V16","RGB LCD红色（最低位）"
"PL","RGB TFT-LCD接口","lcd_rgb[17]","output","W16","RGB LCD红色"
"PL","RGB TFT-LCD接口","lcd_rgb[18]","output","T14","RGB LCD红色"
"PL","RGB TFT-LCD接口","lcd_rgb[19]","output","T15","RGB LCD红色"
"PL","RGB TFT-LCD接口","lcd_rgb[20]","output","Y17","RGB LCD红色"
"PL","RGB TFT-LCD接口","lcd_rgb[21]","output","Y16","RGB LCD红色"
"PL","RGB TFT-LCD接口","lcd_rgb[22]","output","T16","RGB LCD红色"
"PL","RGB TFT-LCD接口","lcd_rgb[23]","output","U17","RGB LCD红色（最高位）"
"PL","RGB TFT-LCD接口","touch_scl","output","R19","触摸屏IIC接口的时钟"
"PL","RGB TFT-LCD接口","touch_sda","inout","P20","触摸屏IIC接口的数据"
"PL","RGB TFT-LCD接口","touch_rst_n","output","M19","触摸屏的复位T_CS"
"PL","RGB TFT-LCD接口","touch_int","input","U19","触摸屏的中断T_PEN"
"PL","HDMI接口","tmds_data_p[0]","output","G19","HDMI的DATA0通道的P端"
"PL","HDMI接口","tmds_data_p[1]","output","K19","HDMI的DATA1通道的P端"
"PL","HDMI接口","tmds_data_p[2]","output","J20","HDMI的DATA2通道的P端"
"PL","HDMI接口","tmds_clk_p","output","J18","HDMI的CLK通道的P端"
"PL","HDMI接口","tmds_scl","output","R19","HDMI的SCL信号"
"PL","HDMI接口","tmds_sda","output","P20","HDMI的SDA信号"
"PL","HDMI接口","tmds_hpd","input","L19","HDMI的热插拔信号"
"PL","摄像头接口（OV5640/OV7725）","cam_sgm_ctrl/cam_pwdn","output","V15","OV7725时钟选择信号（0：使用引脚XCLK提供的时钟 1：使用摄像头自带的晶振提供时钟）/"
"PL","摄像头接口（OV5640/OV7725）","cam_rst_n","output","P14","cmos 复位信号，低电平有效"
